No.,Brands,Parent,Country Of Origin,Site,"TOTAL MOBILE SITES SCORE
(0-5)",Total Iphone Score (0-2),Total ipad Score (0-2),"iOS Functionality score
(0-1)",TOTAL iOS SCORE (0-5),Geolocal (0-2),Mobile Innovation (0-3),"TOTAL MOBILE INNOVATION SCORE 
(0-5)",Mobile Total (0-20) ,,"Facebook 
(0-10)","Twitter
(0-5) ","YouTube
(0-5) ",Traditional Scoail Media Total (0-20),Pinterest (0-5),Tumblr (0-5),Instagram (0-5),Google+ (0-5),Emerging Social Media (0-5),Social Media Total (0-20),,Traffic,Web Authority,Quantitative Search (0-10),Google (0-5),Bing (0-5),Mobile (0-5),Qualitative Search (0-5),"Search
 (0-15)",Web Advertising (0-5),Innovation (0-5),"Web
Advertising & Innovation Total
(0-5)","User Generated Content
(0-5)","Email Marketing Content
(0-5)",Digital Marketing Total (0-30),,Brand Translation Visual Aesthetics (0-5),Brand Translation Messaging (0-5),Technology Score (0-5),Search & Nav Score (0-5),Customer Service (0-5),Product Page (0-5),Checkout (0-5),Account (0-5),Total Site Score (0-30), Site Total (0-30),,Total Digital IQ,ADJUSTED DIGITAL IQ,Rank,Class,Percent Rank,E-commerce Enabled,Member?,2011 Digital IQ ,2012-2011 Differential,2011 Digital IQ Percent Rank,2012-2011 % Differential,2010 Digital IQ,1 month Traffic Growth,Annual Traffic Growth,2010 - 2009 Change (%)
1,Alexander McQueen,Gucci Group (PPR),United Kingdom,www.alexandermcqueen.com,2.50,0.00,0.00,0.00,0.00,0.97,0.00,0.97,5.97,,3.87,2.76,2.17,8.79,0.00,0.00,1.69,0.00,0.68,7.58,,2.0,3.0,5.0,1.8,0.5,1.7,1.50,6.50,0.7,0.5,0.61,3.70,3.13,13.94,,2,3,3.50,2.52,1.00,2.92,2.26,2.81,15.01,15.0,,42.49,104,29,Average,55%,Y,,109,-5,66%,-11%,,,,
2,Alfred Dunhill,Compagnie Financiere Richemont S.A,United Kingdom,www.dunhill.com,2.50,1.25,1.13,0.63,3.00,0.06,1.50,1.56,9.56,,4.96,1.73,2.83,9.53,0.00,0.00,0.00,3.06,0.31,7.86,,2.0,2.0,4.0,1.8,1.3,2.0,1.71,5.71,0.0,1.5,0.75,0.71,0.53,7.71,,3,2,2.60,2.69,1.50,1.65,2.63,1.25,12.31,13.0,,38.11,93,40,Average,36%,Y,,88,5,27%,9%,,,,
3,Badgley Mischka,"Iconix Brand Group, Inc.",United States,www.badgleymischka.com,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.41,2.12,1.16,6.69,2.31,0.00,1.78,3.10,1.95,6.91,,2.0,1.0,3.0,1.5,0.5,1.4,1.29,4.29,0.0,0.8,0.38,0.78,0.00,5.44,,2,2,1.17,1.27,0.50,0.78,0.00,0.00,3.72,5.8,,18.15,44,61,Feeble,4%,n,,61,-17,6%,-2%,,,,
4,Balenciaga,Gucci Group (PPR),France,www.balenciaga.com,5.00,0.00,0.00,0.00,0.00,0.86,0.00,0.86,10.86,,3.90,1.62,1.27,6.79,2.14,0.00,1.52,2.01,1.66,6.76,,2.0,3.0,5.0,2.0,1.8,2.6,2.07,7.07,2.1,0.8,1.41,2.92,1.67,13.07,,2,2,3.02,2.19,1.25,2.67,1.77,1.88,12.77,12.6,,43.27,106,28,Average,57%,y,,83,23,20%,37%,,,,
5,Bally,Labelux Group Inc,Switzerland,www.bally.com,1.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,2.03,,4.26,2.26,2.42,8.94,2.75,0.00,0.00,2.98,1.40,8.27,,2.0,2.0,4.0,1.5,0.3,0.5,1.06,5.06,0.0,0.5,0.25,0.17,2.53,8.01,,4,4,2.67,4.75,0.50,2.67,2.26,2.81,15.65,17.7,,36.05,88,44,Challenged,30%,y,,85,3,22%,8%,,,,
6,Belstaff,Labelux Group Inc,United Kingdom,http://www.belstaff.com,2.50,0.00,0.00,0.00,0.00,0.05,0.00,0.05,5.05,,3.15,2.79,0.53,6.47,0.00,0.00,3.04,0.00,1.22,6.15,,2.0,1.0,3.0,0.8,0.5,1.0,0.75,3.75,0.8,0.3,0.50,1.25,0.00,5.50,,3,3,1.48,3.00,1.25,2.92,1.54,0.63,10.82,12.6,,29.31,72,55,Challenged,14%,y,,,NA,,NA,,,,
7,Bottega Veneta,Gucci Group (PPR),Italy,www.bottegaveneta.com,2.50,0.00,0.00,0.00,0.00,0.49,0.00,0.49,5.49,,3.98,1.61,2.16,7.75,0.00,1.78,0.00,0.86,0.26,6.41,,3.0,2.0,5.0,2.5,1.8,1.9,2.24,7.24,2.6,2.3,2.40,1.68,2.47,13.78,,3,3,3.14,2.21,0.75,2.17,2.77,2.50,13.54,14.7,,40.34,99,32,Average,49%,y,,97,2,47%,2%,,,,
8,Burberry,Burberry,United Kingdom,www.burberry.com,4.50,0.00,0.00,0.00,0.00,1.56,0.50,2.06,11.06,,5.82,3.46,3.82,13.10,2.96,1.70,3.61,4.31,3.23,13.06,,4.0,4.0,8.0,2.0,1.3,3.6,2.18,10.18,1.8,3.3,2.51,4.63,1.00,18.32,,4,4,4.12,2.96,2.75,2.92,2.26,4.06,19.07,20.3,,62.73,153,1,Genius,100%,Y,,144,9,100%,0%,,,,
9,Calvin Klein,Phillips-Van Heusen,United States,www.calvinklein.com,2.50,0.00,0.00,0.00,0.00,0.64,0.00,0.64,5.64,,4.66,2.80,2.08,9.54,0.00,3.70,1.76,0.00,1.07,8.49,,3.0,2.0,5.0,2.9,2.3,3.1,2.81,7.81,3.8,0.8,2.26,3.98,1.53,15.59,,4,4,2.83,2.27,1.75,3.74,2.49,1.88,14.95,17.2,,46.94,115,21,Gifted,65%,y,,116,-1,72%,-7%,,,,
10,Catherine Malandrino,Catherine Malandrino,United States,www.catherinemalandrino.com,2.50,0.00,0.00,0.00,0.00,0.39,0.00,0.39,5.39,,3.12,1.12,0.94,5.18,1.59,0.00,0.89,0.00,0.99,4.94,,1.0,1.0,2.0,1.0,1.8,1.1,1.18,3.18,0.0,0.3,0.13,0.06,0.00,3.37,,1,2,2.11,3.75,1.25,1.53,1.77,0.63,11.04,10.5,,24.23,59,56,Feeble,12%,y,,75,-16,12%,0%,,,,
