No.,Brands,Parent,Country Of Origin,Site,"TOTAL MOBILE SITES SCORE
(0-5)",Total Iphone Score (0-2),Total ipad Score (0-2),"iOS Functionality score
(0-1)",TOTAL iOS SCORE (0-5),Geolocal (0-2),Mobile Innovation (0-3),"TOTAL MOBILE INNOVATION SCORE 
(0-5)",Mobile Total (0-20) ,,"Facebook 
(0-10)","Twitter
(0-5) ","YouTube
(0-5) ",Traditional Scoail Media Total (0-20),Pinterest (0-5),Tumblr (0-5),Instagram (0-5),Google+ (0-5),Emerging Social Media (0-5),Social Media Total (0-20),,Traffic,Web Authority,Quantitative Search (0-10),Google (0-5),Bing (0-5),Mobile (0-5),Qualitative Search (0-5),"Search
 (0-15)",Web Advertising (0-5),Innovation (0-5),"Web
Advertising & Innovation Total
(0-5)","User Generated Content
(0-5)","Email Marketing Content
(0-5)",Digital Marketing Total (0-30),,Brand Translation Visual Aesthetics (0-5),Brand Translation Messaging (0-5),Technology Score (0-5),Search & Nav Score (0-5),Customer Service (0-5),Product Page (0-5),Checkout (0-5),Account (0-5),Total Site Score (0-30), Site Total (0-30),,Total Digital IQ,ADJUSTED DIGITAL IQ,Rank,Class,Percent Rank,E-commerce Enabled,Member?,2011 Digital IQ ,2012-2011 Differential,2011 Digital IQ Percent Rank,2012-2011 % Differential,2010 Digital IQ,1 month Traffic Growth,Annual Traffic Growth,2010 - 2009 Change (%)
8,Burberry,Burberry,United Kingdom,www.burberry.com,4.5,0,0,0,0,1.56,0.5,2.06,11.06,,5.82,3.46,3.82,13.1,2.96,1.7,3.61,4.31,3.23,13.06,,4,4,8,2,1.3,3.6,2.18,10.18,1.8,3.3,2.51,4.63,1,18.32,,4,4,4.12,2.96,2.75,2.92,2.26,4.06,19.07,20.3,,62.73,153,1,Genius,100%,Y,,144,9,100%,0%,,,,
46,Ralph Lauren,Ralph Lauren Corporation,United States,www.ralphlauren.com,5,1.38,1.25,0.63,3.25,0.85,1.25,2.1,15.35,,4.57,3.18,2.45,10.21,1.73,0,1.08,0,1.12,9.07,,5,4,9,3.9,2,3.6,3.47,12.47,3.2,1.5,2.34,4.32,1.87,20.99,,4,5,1.66,3.69,2,2.49,1.77,1.88,13.48,16.9,,62.27,152,2,Genius,98%,Y,,135,17,87%,11%,,,,
31,Kate Spade,Fifth & Pacific,United States,www.katespade.com,5,0,0,0,0,1.68,0.25,1.93,11.93,,4.45,3.16,2.06,9.66,2.98,1.25,4.31,3.62,3.4,10.45,,4,3,7,1.8,2.5,1.1,1.78,8.78,4.4,3.5,3.96,2.93,3.53,19.21,,4,4,1.82,4,1.75,3.65,4.06,1.88,17.15,18.9,,60.46,148,3,Genius,95%,Y,,143,5,97%,-2%,,,,
57,Tory Burch,Tory Burch,United States,http://www.toryburch.com,5,1.5,1,0.75,3.25,0.49,0.5,0.99,14.24,,4.84,2.45,2.28,9.58,3,0,3.24,3.83,2.88,9.97,,4,4,8,3,1.8,2.7,2.68,10.68,3.3,2,2.64,2.95,1.6,17.87,,4,4,3.31,4.25,1.75,3.65,1.54,1.88,16.37,18.3,,60.36,148,3,Genius,95%,Y,,136,12,89%,6%,,,,
26,Gucci,Gucci Group (PPR),Italy,http://www.gucci.com,2.5,1,1,0.5,2.5,1.68,1.25,2.93,10.43,,4.09,3.04,1.52,8.64,2.62,1.78,2.29,4.47,2.59,8.98,,5,5,10,2.5,2.5,1.6,2.32,12.32,1.9,1.8,1.81,4.94,2.53,21.6,,5,5,2.97,3.75,1.5,2.92,1.51,1.88,14.53,18.4,,59.41,145,5,Genius,93%,y,,141,4,93%,0%,,,,
15,Coach,"Coach, Inc.",United States,www.coach.com,5,0,0,0,0,1.24,0.5,1.74,11.74,,5.27,2.51,1.76,9.54,2.69,0,3.96,1.79,2.84,9.9,,5,3,8,2,0.8,2.5,1.85,9.85,1.6,1.5,1.53,2.87,1.27,15.51,,5,5,3.84,3.75,2.25,3.67,2.97,2.19,18.66,21.5,,58.65,143,6,Genius,92%,Y,,141,2,95%,-3%,,,,
36,Louis Vuitton,LVMH,France,http://www.louisvuitton.com,3.5,1,1.25,0.25,2.5,1.99,0.75,2.74,12.24,,5.05,3.07,3.12,11.23,2.75,0,1.06,0,1.52,10.2,,5,5,10,1.7,1.5,1.7,1.65,11.65,0.8,0.8,0.79,4.7,0,17.13,,5,5,1.29,2.39,3.5,1.24,2.26,3.44,14.11,18.1,,57.66,141,7,Genius,90%,y,,127,14,83%,7%,,,,
32,Lacoste,Lacoste,France,http://www.lacoste.com/,5,1.5,1,0.38,2.88,1.52,0.5,2.02,14.89,,3.92,1.39,2.73,8.04,2.39,0.53,2.64,4.3,2.5,8.43,,3,4,7,2.8,2,2.2,2.49,9.49,1,1.8,1.36,4.12,2.33,17.3,,4,4,3.06,2.64,1.75,2.65,2.26,0.63,12.98,15.7,,56.36,138,8,Gifted,88%,Y,,,NA,,NA,,,,
28,Hugo Boss,HUGO BOSS Group,Germany,http://www.hugoboss.com,3,1,1,0.33,2.33,1.41,1.5,2.91,11.24,,4.95,1.35,3.17,9.48,2.51,0,3.07,4.21,2.65,9.7,,3,4,7,2,2.3,0,1.66,8.66,0.9,2,1.46,3.19,2.53,15.84,,4,4,2.49,3.21,3,3.9,2.97,2.19,17.75,19.3,,56.1,137,9,Gifted,87%,y,,134,3,85%,2%,,,,
56,Tommy Hilfiger,Phillips-Van Heusen,United States,tommy.com,5,0,1,0,1,1.04,0.5,1.54,12.54,,5.03,2.6,2.62,10.25,1.62,3.08,2.26,3.15,2.17,9.94,,3,3,6,3.8,1.5,2.8,3.14,9.14,4.9,0,2.43,2.87,1.87,16.3,,3,3,1.95,4.5,3,1.4,2.63,1.88,15.35,16,,54.8,134,10,Gifted,85%,Y,,,NA,,NA,,,,
